Disease name	List of shared genes
Spondylolisthesis	MCTP2;ZNF292;ODZ4;TNFRSF19;ZMIZ1;OCM2;PRUNE2;FGF10;NCAPD3;CXCR4;PARK2;MBNL1;LCE3E;NNMT;TIMP2;PECR;SPRY2;CNTN4;COL11A1;PPM1E;LASS6;SOX4;WDR37;NAALADL2;UBASH3A;SLC22A1;HNF1A;GALNT3;HMGCR;IL12RB2;RORA;C1GALT1;EFCAB4B;CCHCR1;
"Lupus Erythematosus, Discoid"	BAG6;BTNL2;MSH5;HLA-DQA2;HLA-DQB1;BAT1;HLA-DQB2;TNXB;NOTCH4;KCNJ11;ZNRD1;ZNRD1-AS1;UCK2;HLA-B;FAM91A1;HLA-F;IMPA2;CDH6;VSTM2B;IRF8;TNFSF11;LEKR1;RAB3GAP1;BDNF;C6orf10;HLA-DRA;ME2;FHIT;CD33;FOXO6;F13A1;IL10;CASQ2;SMOC2;MYP11;KIAA0319;PCSK2;MIR622;HLA-DPB1;CSMD1;SOX5;RPL5;
Multiple Myeloma	PDE3A;WDR7;TFF1;SIPA1L1;BCMO1;FAM55B;BAK1;GTF2E2;CD58;MPDU1;WDR66;C6orf97;C6orf15;DYNC1H1;CTAGE12P;RXRG;NAV2;DACH1;DLG2;GCK;OR8S21P;
Hypovolemia	LEF1;PDE3A;HDAC11;CRP;ZNF804B;CCL4L2;TSEN15;PCDP1;C6orf204;TYK2;CDKN1A;CACNB2;MYH7B;NOG;NLRP11;ATF1;FGFR2;FAM110B;IGF2BP2;FAM131C;
"Fractures, Stress"	BAT1;CLVS1;EDA;TMEM175;INTS10;CLPTM1L;BAG6;MSH5;CRIM1;SASH1;MCCC1;NOTCH4;MMRN1;PCSK9;MIR622;MICB;ZNRD1;ZNF229;BMPR1B;TNXB;GLT25D2;NCAM2;IL23R;PLAG1;PBX2;
Accessory pancreas	HMGCR;SETD7;CNTN4;CR1;CHRNB4;PSD3;BAG6;DBC1;ME2;TMEM79;KCNN3;KCNIP1;BHLHE40;PRKAG2;ISM1;DLG2;CTBP2;PHRF1;NELL1;GLG1;LCORL;KHDRBS2;CSMD2;ABO;SCAMP3;RXRG;HLA-DQA2;
Spinal Curvatures	FHDC1;GSDMB;CD180;PRKAR2B;BLK;IKZF3;PRPSAP2;SUPT3H;NCR2;CDKN1A;LPHN1;ULK4;HMG20A;FOXE1;BRD1;GSDMA;MS4A6A;PRRX2;
"Gait Disorders, Neurologic"	RYR2;POP1;ILKAP;INSR;RREB1;UTS2D;RPSAP52;C1GALT1;MRC1;CAPZA1;TNFRSF13B;GHR;ESR1;LOC100132612;KCNN3;MAF;KIAA1109;KDM4C;CACNB2;MITF;LRRC58;
Breast Diseases	TACC3;IKZF1;SLC12A2;ZBTB40;ARL14;SELL;DNAH11;CD36;LAMA2;TMCO1;ATP2B2;FDPSP6;SLC46A3;ZFP64;PUS10;TP63;GRIN2B;NFKBIZ;ZMIZ1;TMC2;
Neoplastic Processes	MCM8;IL26;FAM49B;FADS3;PRNP;PEX14;OR4A15;FAM47E;ATL1;SLC9A9;CDH9;STXBP6;AAK1;ERCC4;ARHGAP31;HBBP1;IL12A;DGKH;CDKN1A;LMO1;RORA;
Hyperparathyroidism	ZNF767;HHEX;UIMC1;RHOU;CHRNA3;CMIP;MTMR3;TBL2;EFHA2;UTS2D;SIAE;TNFAIP2;ADRB1;ABCC4;PLXDC2;CRP;TAB1;BAK1;ZNF706;DNM3;CCDC64;C8orf80;SVIL;VPS41;RNF213;HORMAD2;
Corneal Diseases	MICAL3;RNU7-62P;MAFB;NLGN1;MARCH8;PSMA7P;IL27;PSORS1C1;PRKCZ;EFCAB4B;LIPC;DOCK7;TNFSF11;STXBP6;GRIN2B;HCP5;SH3GL3;DTNB;RAB38;SLC17A4;AAK1;
Leg Length Inequality	AAK1;SPATA7;PRNP;CSMD1;IRX4;PKNOX1;KIRREL3;CNTN4;TMEM18;COL1A2;GCOM1;TACC3;PRPSAP2;LINC00340;RPS11;SLCO6A1;CRHR1;C6orf204;MAP3K3;WNT3;COL11A1;EFEMP1;MAPT;CYP2C9;RNF44;
Constipation	HIST1H3B;NOD2;IL6R;ABCA1;IL2RA;STARD9;NCAN;DPEP3;PANK1;TACC3;FONG;CAPN5;ABCG8;SASH1;CDKAL1;IL1RAP;TMEM79;TGM5;CDH1;KCNE3;
Cholangitis	ISM1;AGER;HCG27;NHEJ1;ZNF229;FBN2;IL12A;CHIC2;TRIM2;DENND2A;VAV2;KCNN3;GTF2E2;NUP205;SNTB1;RASGRP1;CR1L;HNF1A;MED13L;CETP;HLA-DQB1;SOX8;KITLG;
Linear IgA Bullous Dermatosis	ZNRD1;HLA-DRA;DNM3;TCHHL1;BAG6;MSH5;BIN1;PSORS1C1;TFPI;MICB;NOTCH4;PAK2;NCR3;C6orf10;BAT1;SH3GL3;LPIN2;HLA-DQB1;LEF1;SLTM;ZNRD1-AS1;LRRC4C;MTMR4;TNFSF15;ADAM18;FUT6;TARDBP;LAMB1;TNFRSF10A;
Scleritis	PPP3CA;RIN2;KCNB2;BMP4;SLC1A7;KCNH7;ACP5;POU4F1-AS1;NFIA;RBMS1;FAM47E;KIAA1598;MXI1;NXPH2;
Enteritis	RFTN1;CCDC38;ZFAND3;FHIT;WDR12;PDGFD;MAX;SGPP1;CTAGE12P;MBNL1;PKNOX2;PLA2G12A;RHPN2;UBE2Q2;LRRC58;CAAP1;SGCD;ETS1;HLA-DRB1;IGF2R;GRB14;CCDC64;KIF16B;DLG2;MN1;TBC1D30;GPR133;CFI;
"Larynx, Congenital Partial Atresia of"	KCNQ1;RPN2;CD247;MAP2K5;LCE3E;RASGRP4;IDS;CLSTN2;WDR7;ACP5;ETS1;LASS4;C20orf132;
Hyperventilation	CDKL1;ARSB;ACBD4;LRP2;COL11A1;EDA;UBASH3A;DDAH1;CD33;KITLG;SCN10A;LINGO1;CDC42EP3;HTR4;HMGCR;PDLIM5;PTPRG;
Rosacea	HLA-DQA2;NOTCH4;MSH5;ITGA1;TNXB;HLA-DQB1;MALT1;IRF4;BAG6;LASS6;HLA-DRA;CDKN2B-AS1;EXOC2;IL7R;REL;MOBP;RBMS3;C6orf10;BTNL2;C6orf48;KIAA1109;SLC14A2;FAM135B;ANGPTL6;C5orf56;SFPQ;CDT1;SLC6A13;CCDC46;PCDP1;NTNG1;MACROD2;BAT1;ICOSLG;
Uterine Neoplasms	EGR2;LEKR1;C14orf102;PRKCZ;MEIS1;NKX2-1;SLC17A1;DYNC1H1;INSR;MPPED2;GPC1;TNFSF15;SGPP1;SMAD7;FRMD6;ZBTB38;LRRC4C;PVT1;PRPH;RHOD;HMGA2;
Thrombocytopenia	BST1;EFR3B;LHCGR;NAPRT1;CAMK2B;ARHGEF3;UBE2Q2;THSD7B;PADI6;SLC24A2;STXBP6;TRPM6;FRMD4A;HSD17B6;FAM5C;DOK2;SREBF1;LPL;CATSPER4;EREG;GOSR2;SLFN14;ABCA1;CNTNAP5;NOS1AP;SHC4;ADAM19;SCN10A;LRRC58;PKD2L1;KCNQ1;HLA-DPB2;STIM2;SLC22A3;C8orf84;ATRNL1;MAP2K5;GZMB;OR4A15;CDKN2B-AS1;BANP;EPHA10;PDE2A;WNT11;MST1;PICALM;MOBP;FER1L4;ARHGAP22;GARNL3;BIK;TBC1D4;LINC00340;MSRB3;ESRRG;CEP152;H2AFY;FSTL4;ATXN1;CPEB1;CAV1;PDGFD;SLCO1A2;GHR;JAK2;BDNF-AS;
"Reflex, Abnormal"	CD33;HMG20A;TRPM6;DPP6;WLS;C6orf191;MEPE;LUZP2;ZNF433;CKAP5;IL1RAP;HIP1;ATOH7;IPPK;UTS2D;IL23R;PVRL2;IL12B;C5orf36;SLC17A4;ANKS1A;
"Dermatitis, Seborrheic"	REL;SLC39A11;LEF1;PSORS1C1;ZBTB38;MGC34034;GLIS3;TBC1D30;MN1;HEATR7B1;TNXB;C8orf42;ETS1;UBASH3B;EXOC2;C6orf103;STMN2;HLA-DQB1;HCG22;UNC13A;IL2RA;CCT7P2;CNTN4;PLA2R1;RASA1;NOG;TNFSF15;HLA-DOA;GIT1;
Blindness	TFF1;ZNF746;NTRK3;MAF;DGKQ;LRRC16A;MIPEP;COL25A1;EDNRA;EPHA1;VGLL3;MAP3K3;UGT1A10;PLCL1;DOCK8;HLA-DPB2;ABCB11;NEGR1;PRKG2;TERT;DOCK7;FANCA;
Borderline Personality Disorder	CETP;DUT;SGCD;MAP2K5;CRIM1;TNFAIP3;GATA3;CUBN;IL2RA;SPIB;RPSAP52;CR1;SLCO1B1;
Cardiomegaly	JAK2;KCNQ1;CD276;CD86;LMO4;MICB;SF3B4;SOCS2;FADS2;CSMD1;IGF2R;KIAA0319;FADS1;KNG1;GPC5;IL28RA;IL23R;RHOD;
Chronic Disease	CDKN2B-AS1;COG5;SGCD;MAD2L1;WWOX;SCG3;ALS2CR12;CAPZA1;FOXE1;IL1RL1;CDK5RAP1;GRAMD1B;CYP26A1;GATA3;UTS2D;MYH6;TRIM10;WTAP;CABLES1;NUP205;RXRG;HLA-C;CSMD2;SASH1;TIMP2;ATXN1;EPDR1;IL18R1;BDNF;SLC22A18;CYP1A1;HLA-DQB1;ATP2B2;LIPC;ESR1;ST3GAL4;MCPH1;PTPN22;SIK3;ULBP1;MRPS22;KCNH2;ZNF544;PAFAH1B2;PCSK2;DUT;DOCK7;PVT1;ANXA13;TOMM40;SCARB1;SLC45A2;PRKAG2;ABO;ADAP2;LOC100505844;ABCG2;CDT1;TNFSF14;EPHA10;BTBD9;ZDHHC19;SFPQ;INS;HLA-DQA2;IBSP;RIT2;THSD4;MTAP;EFEMP1;SH2D6;PDE3A;VAV2;IL28B;AHI1;TSEN2;SCN5A;NIN;C1GALT1;TF;NKAPL;TNNI3K;FOXQ1;PHRF1;STARD9;KITLG;PSORS1C1;PHF19;GPC5;DLEU7;TSLP;HLA-DRA;RORA;FAM55B;CMKLR1;PDLIM5;RAD50;GNA12;LRRC58;MSRA;PALM2-AKAP2;HLA-DRB1;AK3;PRKG1;DKKL1;CCHCR1;GLT25D2;BCAP29;CRHR1;SLC12A2;CDC42EP3;GHR;GSDMA;NOG;PRKAR2B;NMUR2;CSRP2BP;ZMIZ1;PDE2A;C3orf1;IL33;STMN2;HUNK;HMGA2;CUBN;SLC4A7;KIAA1598;SLC39A8;PCSK5;ADH1C;DIS3L2;TXNDC6;UBASH3A;STOML3;SOX17;MEIS1;HDAC11;BCMO1;MICB;CTBP2;FGF5;ARPP21;SOST;PHACTR1;IRF1;EXOC3;BMP6;SGSM2;TOX;ADAM18;GABRR1;AGPHD1;GALNT3;RNF44;SUMF1;SRPRB;GPR35;DNAH11;SLC22A5;SLC1A7;IMMP2L;SELL;PBX1;TNFRSF1A;TUSC1;MC4R;KCNJ11;FUT8;PLEKHM1;IL23R;CNTN4;RIN2;SLC9A9;UMOD;DLG2;HIST1H1D;CDKL1;NCALD;HIST1H3B;IL12A;RBMS1;CDKN2B;NPLOC4;CRP;PADI6;SLC30A7;CYP19A1;STXBP6;PARD3;AGXT2;CTLA4;DUPD1;SPATS2L;HHEX;HPR;NSF;RNF212;MYPN;IRF4;BTNL2;TSEN15;SLC25A36;FAM49B;ZBTB46;PRDM16;G6PC2;UNC119B;PCDP1;ATPBD4;AAK1;RFX6;MOBKL2B;FASTKD2;SP140;KCNE3;PKD2L1;ACADL;GOSR2;HHIP;THRB;AKAP6;DTNB;PPIL6;SF1;IL7R;PKNOX1;CASZ1;NOTCH4;MPV17L2;IL25;PRF1;KCNQ1;PROX1;LOC650157;MAF;HMGCR;ADRA2A;MAPT;PLEKHF2;GIT2;SLC14A2;CYP1A2;IGF1;IL22RA2;POU2F1;EXOC4;NTNG1;APOA5;ZBTB38;CHRNA3;MEPE;CD86;STAT6;FHIT;PKDCC;WNT3;MMP3;EDIL3;TCF7L2;PI16;PTPRG;LAMP3;CACNB2;TTC3;PBRM1;MTMR3;SPRED2;IL2RA;SPRY2;CELSR2;LRP1;MACROD2;PRKG2;TRPC5;BOK;CCR4;NOS1AP;YDJC;SMOC2;STAT4;C6orf183;ZPLD1;GRIN2B;PRKCZ;NRIP1;ARL6;CDH12;MIR622;FSTL4;NAA25;STAT2;C6orf170;FGF12;SEZ6L2;AFF1;PHGDH;RNF5P1;UBE2L3;TGFBRAP1;SRR;PID1;CMIP;CDK6;ARHGAP24;SATB2;GABRB3;FADS3;ARL5B;H2AFY;REV3L;ARHGAP31;ME2;PSCA;EIF3H;FTO;SLC22A4;NCAM2;SLC14A1;BUD13;RBFOX1;PLCB2;IL4R;ATP8B1;VWA5A;PDE7B;DARC;DMRT1;IKZF1;MYH9;HLA-DPB2;HSD17B6;MN1;CRTC3;CENPW;ITIH1;CIITA;NTRK3;LCORL;EHBP1;SREBF1;COL5A1;CDCA7L;SNRPN;POPDC3;SLC22A3;PTPN2;ATRNL1;CCDC26;C8orf80;ILKAP;ACTN1;TRAF1;CRYGC;CAMK2B;ARG1;FHDC1;CDH6;BAIAP2L1;COL13A1;ANTXR1;LIPG;BTN1A1;TNRC6B;DENND1B;OSBPL1A;KCNK12;DDAH1;LPHN1;ATP13A2;LRP2;RGL1;HORMAD2;ZNF320;DYRK1A;CETP;IRF8;NCAN;LPA;ADCY8;PAX5;BCR;EDA;PSMG1;ABCB11;CRB1;SDK1;RTEL1;TNNT3;RAB11B;NAALADL2;HIST1H2BJ;THADA;SLC28A1;PRKCE;TNXB;HS3ST3A1;PCIF1;PLCE1;BCO2;CARD9;SUPT3H;KIRREL3;KIF6;ITGA8;TMTC1;C9orf72;DCC;ATF7IP;FOXO1;UNC13C;RELN;SAA2;FAM91A1;HCP5;FGFR2;IL2RB;ABCC4;API5;ERCC4;PTPRD;SNCA;KRT18P32;LMO4;LYPLAL1;NKX3-1;APOB;SPTLC3;LRP1B;ADAMTS14;PC;PDGFD;ZNF498;VGLL4;KSR2;PRKD2;C5orf56;TRIM2;ZNF804B;L3MBTL4;BANK1;QPCTL;ITGAM;ASB18;IL1R2;SDC4;VRK2;SLC12A9;MYH7B;TAB1;DNAJC6;PHLDB1;TNFRSF11A;PRICKLE2;PSMA7P;CBS;SLCO1B1;NOD2;FAM174B;IDS;IL1RAP;CDH8;TRIP11;TAGAP;LINC00340;TMEM57;DISC1;PLXDC2;CPAMD8;TNFRSF19;ZNF827;DOCK6;NAV2;CORO2B;AGTR2;ITGAX;ZNF788;KCNH8;EHF;CD33;GCKR;MMEL1;TSHZ3;CMTM8;BICD1;C6orf97;CCL4L2;UBE2Q2;C9orf5;TRPM8;
Peripheral Vascular Diseases	SCN5A;FOXO6;OSBPL1A;TRIB3;PTPRD;NBPF3;GPC5;MAVS;SPATA13;EXTL2;SETD7;PCSK5;ZMIZ1;ATXN1;HIST1H2BJ;CHRNA3;ABCB11;GABBR1;VSTM2B;PBX1;MIR137;SH2B3;MLANA;C14orf102;MMEL1;GIT1;C9orf5;
"Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"	TBC1D30;ABCG2;DCDC5;SGPP1;BMP4;ANK3;LAMC2;IRGM;MGC45800;DENND2A;TNFAIP3;ADIPOQ;HCG9;EXOC3L2;ZNRD1-AS1;RAD21L1;SEMA3C;BRP44;COL4A2;
Complex Regional Pain Syndromes	BACH2;SLC6A1;ST3GAL4;PAK2;FAM177B;ANKRD55;IL17REL;C3orf1;NNMT;IFI27L1;ATP2B1;HNF1A;APOB;LMO1;SPRED2;SPRY4;
Subarachnoid Hemorrhage	ACE;NCOR2;C6orf97;EEFSEC;POU3F2;DNAI2;ATG16L1;DLG2;MUC22;TCF4;IL2RA;ANXA13;IRF8;NCAM1;TAGAP;GRIK5;PARK2;TGFA;PXK;TF;COL4A1;VKORC1;TMEM18;STX4;PARD6B;IKZF1;UBE2L3;SLC2A9;IL18R1;ZFP90;DUSP14;PEX5L;ZGPAT;PLEK;ZNF462;YDJC;TNFAIP2;
"Lower Extremity Deformities, Congenital"	HORMAD2;CDKN2B-AS1;CDKN2B;NOTCH4;BMPR1B;LOC100287944;C6orf15;KIAA1462;CCL21;HLA-B;C11orf73;MTMR3;PAFAH1B2;ETS1;C11orf10;CSK;ACBD4;ADAMTS10;BACH2;SLC6A13;LPP;FADS2;S100A5;CABLES1;FADS1;CCHCR1;MTAP;PKHD1;MET;FAM113B;
Restless Legs Syndrome	PAPL;DARC;ADAM19;MITF;EXOC3;C15orf32;BICD1;MICAL3;FGFR1OP;BTNL2;CDK2;ESRRG;SNTB1;THADA;APOL1;HUNK;TNFRSF11B;UMOD;SPPL3;ELMO1;JMJD1C;TBL2;SLC17A4;
Bacterial Infections	SIAE;PSCA;VGLL4;STXBP5;SLC39A8;FUBP3;PRC1;TNFAIP3;NOS1AP;BOK;TP63;PSMD6;PARP1;CACNB2;ITGAX;APOA5;NRG3;GPR133;CLSTN2;NKX3-1;
Candidiasis	SOX5;SAA2;PLEKHF2;MRC1;BRSK1;MARC1;ICOSLG;FANCA;ATP6V0A4;ABCA1;PADI4;EFHA2;MEX3B;ZBTB16;IL1R2;TP53INP1;TYMP;PLXNA1;FOXE1;SLCO1C1;KCNE1;GRB14;ZNF788;AFAP1L2;
Hypertrophy	EYA4;NXPH1;PLAG1;KIAA1109;TNIP1;STAT6;GRIK4;EFCAB4B;STAT2;CDC42EP3;LPL;TNFRSF19;CDRT4;
Bacteremia	SFPQ;BTN1A1;BRP44;SLC44A4;SIAE;NOV;HSD17B6;UNC13A;ADAMTS9;BMPR1B;ZNF544;PXK;TRIM24;KCNQ1;AGXT2;FAM49B;BET1L;GJA1;CDH13;PARD3B;AR;HIST1H2BJ;PVR;BAT2;BICD1;MN1;BAG6;SOCS2;VAV2;TMEM196;PLTP;CHL1;
Inflammatory Bowel Disease	C11orf10;FADS1;FADS2;HOXC13;ZNF248;BUD13;NKX2-3;IL1RAP;RORA;NIN;CRP;TMPRSS6;EDNRA;TMEM38B;SIX1;XPO7;IL23R;CETP;FRMD4B;KIF13A;PID1;AHI1;ATOH7;UBE2L3;DAAM2;NOS1AP;PVRL2;CEP250;
Lipoma	ITIH1;PBRM1;FAM91A1;FDFT1;OR2M7;LCORL;SPRY4;EREG;ACOXL;C15orf38;LPHN3;CCDC63;WLS;NAV2;HNF1B;THADA;C16orf78;TSHZ2;MUC7;ST8SIA1;TP63;HMGCR;
Hallux Valgus	CAPZB;REL;UPP2;CYP1A2;TM7SF4;GARNL3;RFX6;USP25;SH3GL3;AR;CSK;PON1;GGT1;SKAP2;TRAF1;THADA;PKD2L1;ZBTB38;PRKAG2;ATP2B1;NAV2;TRIM10;PELI2;NCOR2;DIRC3;
"Hepatitis, Viral, Human"	PRRX2;GLIS3;PC;PRKG1;NCKAP5;NAV3;HTR4;ESR1;SLC12A7;PCDP1;EXOC3L2;MBOAT1;GCKR;ZNF536;
"Deafness, Conductive, with Malformed External Ear"	TRIM38;MCPH1;GRIK2;MSH5;BAG6;PTPRD;BAI3;UBE3C;BAT1;RELN;WDR64;ZNRD1;CDT1;NEK6;EGR2;ICAM1;SPEF2;BTNL2;MICB;TBX3;
Periostitis	SCFD2;USP46;TP63;TRIB3;EFCAB4B;HNF1B;ACTN1;CARD9;ZIC1;GP1BA;INHBA;BLK;EVC;SLC22A1;CCDC38;EGR2;SLCO6A1;ZNF320;
Myasthenia Gravis	ZNF320;C6orf97;CDKAL1;STAT4;IL2RB;SLIT3;RBMS3;SACS;RORA;ADAMTSL3;ZNF330;MACROD2;IL2RA;SLC9A9;VGLL4;CCDC134;PRKAR2B;OSBPL10;DNAI2;
Irritable Bowel Syndrome	DBC1;MXI1;UBASH3A;DUPD1;BRD1;CTNND2;HDAC11;BET1L;NCKAP5;PVT1;ABCA7;MAF;C6orf10;
Neutropenia	PVT1;AAK1;CHRNB4;CDCA7L;FHDC1;IL12B;WDR1;PCDP1;PDLIM5;ANXA9;ARID5B;PXK;ZNF544;SDC4;MMEL1;RBMS1;PTPN22;CAAP1;UNC13B;ATP10D;KIRREL3;NOS1AP;CR1;CABLES1;TBL2;NUBPL;ZNF292;SATB2;FARP2;SSBP2;
Skin Neoplasms	IRF4;TYR;EXOC2;MC1R;SLC45A2;CDK10;DBNDD1;EIF6;BAT2;TSHR;FAM49B;HLA-C;BAG6;VGLL3;EDIL3;HFE;REL;SLC22A5;ISG20;MKL1;FREM2;DLEU7;C13orf31;TTC7B;MAD2L1;LPP;ALS2CR12;CST5;WWOX;CYP1A1;LRP1B;ATP13A2;LPIN2;C8orf84;CAMK4;SLC22A4;ADCY9;NFAT5;TOX;RYR2;TAB1;CCHCR1;SLC6A6;HIP1;CASZ1;ZBTB40;TRAF3;ZGPAT;NDFIP1;INTS10;SLC22A3;DLG2;TOX3;SGPP1;PID1;SLC17A1;SGSM2;SCN5A;XPO7;WDR36;ACOXL;LRP5;BTN1A1;ANO3;C3orf38;KCNH7;WNT4;DYNC1H1;HERC2;CATSPER4;MARC1;ZNF365;RTEL1;KCNB2;MCTP2;HLA-DRA;ABCC4;TNRC6B;NXPH2;CD33;RNF186;BLK;FGF7;BARD1;SVIL;ZNF521;ZNF341;IL2RA;LSP1;GAK;TMTC2;MYP11;HLA-DQB1;CMTM8;EML6;GCOM1;SLC9A9;PBLD;CDC42EP3;MAFB;PLCB2;UBXN4;TNFSF11;PKHD1;PGS1;ST3GAL4;EDNRA;CACNB3;SEMA6A;MIR622;ZNF462;TTC28;NCKAP5;MINPP1;
Water-Electrolyte Imbalance	FAM131C;ZPLD1;LEF1;IL26;IL12A;RAB3GAP1;SIAE;EPHA1;SFPQ;PDE3A;ARID5B;PPIL6;HBBP1;UBXN4;EFCAB4B;PROX2;TYK2;TARDBP;LIPC;SLC7A9;C6orf204;ITPR3;CCHCR1;CENPF;STK11;ITGA8;CDH1;KCNT2;PAX5;
Menstruation Disturbances	ARHGAP24;CDH1;ICAM1;ATL1;PLAG1;CDKL1;ZFP90;LINGO1;LRP1B;CYP4F2;TNRC6B;ACCN1;PRKD2;TMEM44;NIN;GOSR2;FASTKD2;CDH4;NPLOC4;SYK;NOTCH4;MBNL1;LCE3D;FAM131C;TMTC1;FUT6;HLA-F-AS1;JARID2;
Uterine Cervical Neoplasms	ETS1;BST1;RAP1GDS1;ERCC4;KIAA1598;CADM3;SCN5A;DUSP14;CCDC64;TNFAIP2;TMEM175;LOC285696;DIRC3;CRP;FBXL20;CST5;NCAM1;EPS8;IL23R;TRPS1;C6orf204;ANGPTL6;AK3;ANO6;GABRB3;PVT1;LCE3E;SOX4;CREB5;DPP6;PRDM16;CD180;REL;WLS;NFKBIA;DCLK1;GRIN2B;COG6;CLPTM1L;ANKFN1;
Parasomnias	KCNB2;ZBTB38;SLC22A4;LIPC;SOX8;HLA-DRB1;SLC22A5;TRIM10;HLA-DPB2;SLC25A36;TMEM18;
Vitamin D Deficiency	PSMB8;ZIC1;WWOX;G6PC2;ABCA1;IMPA2;NCALD;CD33;NAALADL2;TF;HBBP1;FOXO1;IL12RB2;DCAF12;IRS1;CHEK2;KIAA1109;RPN2;JMJD1C;ARL6;CXCR4;
Alkalosis	CAMSAP1L1;IL23R;DENND1A;TNFAIP3;KCNE4;EDIL3;POU3F2;BLK;NFKB1;NOS1AP;MITF;SOST;DENND2A;MSRA;C1GALT1;LRRC4C;ATE1;LOC441167;
Esophageal Motility Disorders	SLC4A7;MGC45800;PADI6;HMGA1;PHF19;MAF;SOX17;CETP;HLA-DPB2;MAP3K1;UNC5C;RNF212;KITLG;ZDHHC19;EDNRA;MLN;ZNF536;TRAF1;SCGN;SALL1;ZNF365;FSHR;MOBP;ANKS1A;CAMK4;CD8B;HS6ST3;LRRC16A;TOX3;LRP1B;KCNE3;AFAP1L2;IL2RA;
Myelodysplastic-Myeloproliferative Diseases	CCDC134;PKDCC;PRRX2;BLK;PPP1R3B;LPHN3;B3GNT2;ZBTB16;C6orf10;DGKH;ETV6;MTMR3;ZNF101;OR9G1;C11orf49;TBL2;KIF16B;CNTN4;TRIM2;PARD3B;TNFSF4;ABCC4;HORMAD2;LOC199897;CACNB3;ARG1;
Periodontitis	WWOX;KCNH8;BST1;C8orf80;SCG3;BNC2;NRIP1;PUS10;C6orf15;CDH4;EREG;MYSM1;CHRNA3;STAT4;PRF1;AFAP1L2;TRIM2;BAG3;NTRK3;SUSD1;TAS1R2;ILKAP;PROCR;ESR1;CABLES1;STAT6;MACROD2;CRHR1;C15orf32;APOB;TNXB;CRP;GNA12;PARP1;HMGCR;C6orf129;MAP2K5;ZNF365;HS3ST3A1;IL2RB;TTC28;RELN;AGTR2;SLC8A3;GIT2;FADS2;CASZ1;PDZK1;TMEM50A;MTNR1B;RASGRF1;TMEM57;
Alcohol-Related Disorders	ANKLE1;MAPT;BCAP29;SLFN14;BANP;GHR;CFI;HLA-DPB2;BAD;MRPS30;ATP2A2;ZNF385D;PI16;PCSK2;SOX5;FRMD6;ADAM19;TRPT1;PROCR;KCNK12;PARK2;BCMO1;ZBTB38;CCND2;LOC100289473;SYCP2L;CYP19A1;NFATC4;PLA2G12A;
Dental Caries	JAM2;STAT4;SCG3;INHBA;MAPT;MYH9;NRSN1;AIM1;EPB41L4A;PKNOX1;PRKCA;SLIT3;EHF;GARNL3;UQCC;CTLA4;BTBD1;PCSK5;IL23R;
Obesity	C10orf67;ABCA1;FRMD6;ZNF706;RERE;CHRNA3;SLCO1A2;NRXN3;RIT2;CDKN1A;BDNF;BCL11A;FTO;CLSTN2;JUN;LINC00340;EEFSEC;TAL2;CETP;HCG9;PHEX;MC4R;GALNT3;PKHD1;FOXQ1;VSTM2B;
Corneal dystrophy and perceptive deafness	TCF4;PLEKHA1;NPLOC4;GNA15;EEFSEC;CDT1;C6orf48;TNFSF11;PRKCZ;SLC41A1;USP46;DOCK7;CKAP5;IPPK;MICAL3;LRP2;CDK5RAP1;IL33;MINPP1;PVT1;SPATA7;TOX3;PSMA7P;LPAR3;PTGFR;ICOSLG;LAMA2;GJA1;CTNNA2;
Uterine Cervical Diseases	HFE;SLC17A1;ZNF544;WTAP;MIPEP;NKX2-1;GRM5;EHHADH;FAM155A;SDK2;MDM4;PRDM15;ACOXL;CD33;RYR2;DCDC2;HCP5;LRRC16A;THADA;CCL21;VGLL4;USP25;SH3GL2;CST5;FAS;MYH9;FAM49B;
Glucose Intolerance	MTNR1B;RFX6;COL13A1;NLGN1;G6PC2;GCKR;DENND1A;DUSP9;PTPRG;EXTL2P1;GRIN2B;BCL11A;DLG2;MYC;JAZF1;LRRC58;ATM;GAB1;LMO4;TCF4;RNF213;MEIS2;SLC30A8;TF;ABCA7;SCN7A;FREM1;RUNX3;C16orf47;
Hematemesis	EFEMP1;KIAA1217;PTGFR;KCNB2;COL4A1;IKZF1;WDR64;EPDR1;MOBP;TNFRSF13B;LOC441167;SLC39A8;CR1L;FAM91A1;SAFB2;MDGA2;ICAM1;TNFSF4;NCAPD3;GLYATL3;
Hepatitis C	HIP1;TNIP1;PRRX2;CYP19A1;PKNOX2;RNF44;FANCA;ZNF536;PLAG1;MIPEP;LARP6;RPL5;HSD17B6;SEMA3C;RNASE9;TAB1;ETS1;STK11;
Mastoiditis	C8orf80;TNFAIP3;TAB1;RARB;PADI4;MACROD2;PHEX;ZBP1;TBC1D30;PDLIM5;MOBKL2B;BST1;VCAN;FUT8;CACNB2;GRIN2B;PLAG1;ARHGAP22;CDH4;PKN2;STX17;TRIP11;RFTN1;FOXL1;
Paranoid Disorders	C6orf183;APBB1IP;PABPC4;MTHFD1;BOK;PLXNA1;RHPN2;LOC100287944;CCNE1;
