Disease name	List of shared genes
"Diabetes Mellitus, Type 5"	TCF7L2;IRS1;HLA-DQB1;TNXB;PHGDH;RIMS1;DLG2;CDKAL1;PKNOX1;FSTL4;IL1RAP;SLC30A8;NOTCH4;IL17REL;UCK2;CYP24A1;HHEX;GHSR;THSD4;ARL5B;RNF213;IL12A;LEF1;CENPW;BAG6;MSH5;CDKN2B-AS1;MYH9;KIAA1109;CAPZA1;KIAA1217;FTO;BAT1;SPIB;PLCL1;OPTN;MICB;BAT2;ABCB11;GABRR1;NKAIN2;HLA-DRA;CDH12;EHF;BATF;STAT6;SPPL3;CDH13;STXBP5;LOC100289058;RPSAP52;CYP2C9;CCDC26;NKX3-1;SLIT3;HIST1H3B;HHLA1;
Pelvic Inflammatory Disease	LHFPL3;RAD51B;NCR2;CSMD1;NXPH2;MRPS22;STXBP5;LIPC;TSEN2;DENND1A;RIT2;ALPK1;STX4;RPSAP52;VKORC1;CEP250;
Alzheimer Disease	TOMM40;PVRL2;ATP13A2;PAX5;ABCA7;PDE3A;PDE4D;PRPSAP2;PLXNA1;PPM1E;EHBP1L1;ERCC4;ACBD4;LOC100289473;DLEU7;DOCK6;ADAMTS14;SLC22A3;FOXO3;MTMR4;ZNF804B;PAPL;ICAM4;LRP1B;GTF2E2;MMRN1;LPIN2;ESR1;NRGN;CCT7P2;
Neck Pain	TYK2;TAB1;NUP205;PRICKLE2;FOXO1;ASAH1;AHRR;MICB;BICD1;TMCC2;MGST3;KCNMA1;RNF186;KCNH8;ZFP36L1;SLC44A5;PARD3;TF;LBH;LRP1B;DDAH1;PLA2R1;ZNF341;SFPQ;
Dyspareunia	IFIH1;SUSD1;LPL;ANTXR2;SLC28A1;SLC12A9;ZNF292;NAV2;CBS;RHOD;C9orf5;REV3L;ITGA8;C6orf10;COL11A1;MSRA;EFNA5;C20orf196;RGMB;TYK2;HOXC13;
Thyroid cancer	SRR;RPS11;SLC35F1;SLC39A8;DAPK1;COL4A2;BAK1;TF;PRKG2;ATP2A2;CETP;CYP2C9;HLA-DQB1;
Nervous System Diseases	DENND2A;ZBTB40;RHOU;LPAR3;ST8SIA1;TBC1D4;MACROD2;ERCC4;MET;LRIG1;CRP;EYA4;LINC00340;SEZ6L2;ITM2A;FARP1;LRP2;MYLIP;PPP2R5E;ETV6;CD247;ITGAM;TCHHL1;
Graves Disease	NLRP11;HLA-DQB1;PTPN22;PUS10;LAMC2;ZMAT4;NRG3;PDGFRA;EFHA2;CTLA4;IL4R;ADH1C;HLA-A;ADH7;RPL22P13;SIX1;CD276;SASH1;RASA1;BTNL2;SEC16B;FGF7;MSH5;BAG6;ZNF492;ST6GAL1;SLCO1B1;DNAH11;HS6ST3;ACTA2;SLC22A4;PSORS1C1;STXBP5;
Otosclerosis	KCNMA1;GPC5;MYH7B;RUNX3;RGL1;IL10;KCNE1;FUNDC1;TNFRSF1A;TF;CD163;FSHR;LYPLAL1;IKZF2;IL12A;PDGFD;IL1R2;OR10J3;TSLP;NUCKS1;SLIT3;SIX1;ACP5;C19orf62;ICAM1;PRL;
Sacroiliitis	C2orf86;CD53;MX2;CCR6;LIPC;C15orf32;GSDMB;SH3GL3;ARHGAP22;TNRC6B;IKZF3;AKT3;RPL22P13;TAS1R2;ARL6;CUBN;NR5A2;SFPQ;SPIB;
Peripheral Arterial Disease	SCN5A;HIST1H2BJ;TRIB3;MS4A4A;CHRNA3;SETD7;SPATA13;EXTL2;ANXA13;KRT18P32;ERCC4;OSBPL1A;GABBR1;SH2B3;MS4A6A;NAA25;ATXN2;MAVS;GPC5;PCSK5;MMEL1;BRAP;NBPF3;TOX;PAFAH1B2;ALPK1;ODZ4;
Postoperative Nausea and Vomiting	IL26;ITIH1;ATP2B1;SPATA13;CRP;EFCAB4B;CDC42BPB;CTBP2;CCL4L2;PBRM1;MAFB;ADH1C;HSD17B6;CAPZB;NOS1AP;CTNND2;FSHR;CLEC16A;DGKH;FGB;C1GALT1;PPP1R3B;GPLD1;FUNDC1;CCDC60;IRX4;CUBN;BAZ1B;ESRRG;KCNE3;MCCC1;
"Choreoathetosis, Hypothyroidism, And Neonatal Respiratory Distress"	COL4A1;ABCA1;LAMC2;FCGR2A;GALNT3;TNS1;RGS14;HMGA2;MRC1;NCALD;DCC;TYR;LPL;SRPRB;IL4R;EMBP1;HLA-DRA;CHL1;MTHFR;DUSP10;
